,ID,Title
150,MHIMN27123A052NCEN,"Estimate of Median Household Income for Ramsey County, MN"
151,BPPRIV027171,"New Private Housing Structures Authorized by Building Permits for Wright County, MN"
152,MNANOK5POP,"Resident Population in Anoka County, MN"
153,USPTOISSUED027123,"New Patent Assignments in Ramsey County, MN"
154,B080ACS027123,"Mean Commuting Time for Workers in Ramsey County, MN"
155,FBITC027123,"Combined Violent and Property Crime Incidents Known to Law Enforcement in Ramsey County, MN"
156,PEAAMN27171A647NCEN,"Estimate of People of All Ages in Poverty in Wright County, MN"
157,MNRAMS3LFN,"Civilian Labor Force in Ramsey County, MN"
158,MNISAN9URN,"Unemployment Rate in Isanti County, MN"
160,EQFXSUBPRIME027171,"Equifax Subprime Credit Population for Wright County, MN"
161,MNANOK5LFN,"Civilian Labor Force in Anoka County, MN"
162,PCPI27025,"Per Capita Personal Income in Chisago County, MN"
163,S1101SPHOUSE027025,"Single-parent Households with Children as a Percentage of Households with Children in Chisago County, MN"
164,S1101SPHOUSE027053,"Single-parent Households with Children as a Percentage of Households with Children in Hennepin County, MN"
165,2020RATIO027025,"Income Inequality in Chisago County, MN"
166,B03002003E027025,"Population Estimate of Non-Hispanic White Persons in Chisago County, MN"
167,B03002006E027025,"Population Estimate of Non-Hispanic Asian Persons in Chisago County, MN"
168,B03002012E027025,"Population Estimate of Hispanic or Latino Persons in Chisago County, MN"
169,B03002005E027025,"Population Estimate of Non-Hispanic American Indian or Native Alaskan Persons in Chisago County, MN"
170,MNWRIG0POP,"Resident Population in Wright County, MN"
171,MHIMN27003A052NCEN,"Estimate of Median Household Income for Anoka County, MN"
172,NETMIGNACS027171,"Net Migration Flow for Wright County, MN"
173,MNCARV9LFN,"Civilian Labor Force in Carver County, MN"
174,PEAAMN27059A647NCEN,"Estimate of People of All Ages in Poverty in Isanti County, MN"
175,PCPI27171,"Per Capita Personal Income in Wright County, MN"
176,CDC20N2U027025,"Premature Death Rate for Chisago County, MN"
177,DMPCRATE027025,"Rate of Preventable Hospital Admissions in Chisago County, MN"
178,ENU2702520510,"Number of Private Establishments for All Industries in Chisago County, MN"
179,BPPRIV027025,"New Private Housing Structures Authorized by Building Permits for Chisago County, MN"
180,FBITC027171,"Combined Violent and Property Crime Incidents Known to Law Enforcement in Wright County, MN"
181,MNRAMS3POP,"Resident Population in Ramsey County, MN"
182,MNDAKO5POP,"Resident Population in Dakota County, MN"
183,CDC20N2U027171,"Premature Death Rate for Wright County, MN"
184,PEU18MN27171A647NCEN,"Estimate of People Age 0-17 in Poverty in Wright County, MN"
185,PCPI27003,"Per Capita Personal Income in Anoka County, MN"
186,PEU18MN27053A647NCEN,"Estimate of People Age 0-17 in Poverty in Hennepin County, MN"
187,MNWASH5POP,"Resident Population in Washington County, MN"
188,FBITC027025,"Combined Violent and Property Crime Incidents Known to Law Enforcement in Chisago County, MN"
189,PCPI27139,"Per Capita Personal Income in Scott County, MN"
190,PCPI27059,"Per Capita Personal Income in Isanti County, MN"
191,PCPI27141,"Per Capita Personal Income in Sherburne County, MN"
192,PUAAMN27171A647NCEN,"Poverty Universe, All Ages for Wright County, MN"
193,CBR27141MNA647NCEN,"SNAP Benefits Recipients in Sherburne County, MN"
194,HOWNRATEACS027171,"Homeownership Rate for Wright County, MN"
195,B03002003E027053,"Population Estimate of Non-Hispanic White Persons in Hennepin County, MN"
196,PI27171,"Personal Income in Wright County, MN"
197,CBR27003MNA647NCEN,"SNAP Benefits Recipients in Anoka County, MN"
198,ENU2717120510,"Number of Private Establishments for All Industries in Wright County, MN"
199,PPAAMN27171A156NCEN,"Estimated Percent of People of All Ages in Poverty for Wright County, MN"
200,2020RATIO027171,"Income Inequality in Wright County, MN"
201,DP04ACS027171,"Burdened Households in Wright County, MN"
202,MHIMN27019A052NCEN,"Estimate of Median Household Income for Carver County, MN"
203,MNHENN3LFN,"Civilian Labor Force in Hennepin County, MN"
204,BPPRIV027141,"New Private Housing Structures Authorized by Building Permits for Sherburne County, MN"
205,B03002003E027003,"Population Estimate of Non-Hispanic White Persons in Anoka County, MN"
206,S1101SPHOUSE027003,"Single-parent Households with Children as a Percentage of Households with Children in Anoka County, MN"
207,RACEDISPARITY027019,"White to Non-White Racial Dissimilarity Index for Carver County, MN"
208,S1101SPHOUSE027019,"Single-parent Households with Children as a Percentage of Households with Children in Carver County, MN"
209,B01002001E027003,"Median Age of the Population in Anoka County, MN"
210,FBITC027053,"Combined Violent and Property Crime Incidents Known to Law Enforcement in Hennepin County, MN"
211,MNCHIS5POP,"Resident Population in Chisago County, MN"
212,DP04ACS027053,"Burdened Households in Hennepin County, MN"
213,NETMIGNACS027037,"Net Migration Flow for Dakota County, MN"
214,ATNHPIUS27019A,"All-Transactions House Price Index for Carver County, MN"
215,DMPCRATE027053,"Rate of Preventable Hospital Admissions in Hennepin County, MN"
216,MHICILBMN27053A052NCEN,"90% Confidence Interval Lower Bound of Estimate of Median Household Income for Hennepin County, MN"
217,B080ACS027171,"Mean Commuting Time for Workers in Wright County, MN"
218,MHIMN27171A052NCEN,"Estimate of Median Household Income for Wright County, MN"
219,PECIUBAAMN27171A647NCEN,"90% Confidence Interval Upper Bound of Estimate of People of All Ages in Poverty for Wright County, MN"
220,CBR27019MNA647NCEN,"SNAP Benefits Recipients in Carver County, MN"
221,FBITC027019,"Combined Violent and Property Crime Incidents Known to Law Enforcement in Carver County, MN"
222,PI27053,"Personal Income in Hennepin County, MN"
223,NETMIGNACS027141,"Net Migration Flow for Sherburne County, MN"
224,ATNHPIUS27037A,"All-Transactions House Price Index for Dakota County, MN"
225,RACEDISPARITY027025,"White to Non-White Racial Dissimilarity Index for Chisago County, MN"
226,BPPRIV027019,"New Private Housing Structures Authorized by Building Permits for Carver County, MN"
227,PCPI27019,"Per Capita Personal Income in Carver County, MN"
228,CDC20N2U027019,"Premature Death Rate for Carver County, MN"
229,DMPCRATE027019,"Rate of Preventable Hospital Admissions in Carver County, MN"
230,ENU2701920510,"Number of Private Establishments for All Industries in Carver County, MN"
231,NETMIGNACS027123,"Net Migration Flow for Ramsey County, MN"
232,PI27003,"Personal Income in Anoka County, MN"
233,ATNHPIUS27139A,"All-Transactions House Price Index for Scott County, MN"
234,S1501ACSTOTAL027053,"People 25 Years and Over Who Have Completed an Associate's Degree or Higher (5-year estimate) in Hennepin County, MN"
235,S1701ACS027019,"Percent of Population Below the Poverty Level in Carver County, MN"
236,RACEDISPARITY027053,"White to Non-White Racial Dissimilarity Index for Hennepin County, MN"
237,B01002001E027123,"Median Age of the Population in Ramsey County, MN"
238,USPTOISSUED027053,"New Patent Assignments in Hennepin County, MN"
239,2020RATIO027059,"Income Inequality in Isanti County, MN"
240,MHIMN27139A052NCEN,"Estimate of Median Household Income for Scott County, MN"
241,PEAAMN27037A647NCEN,"Estimate of People of All Ages in Poverty in Dakota County, MN"
242,S1701ACS027059,"Percent of Population Below the Poverty Level in Isanti County, MN"
243,CBR27139MNA647NCEN,"SNAP Benefits Recipients in Scott County, MN"
244,DMPCRATE027171,"Rate of Preventable Hospital Admissions in Wright County, MN"
245,MNSCOT9LFN,"Civilian Labor Force in Scott County, MN"
246,PPU18MN27037A156NCEN,"Estimated Percent of People Age 0-17 in Poverty for Dakota County, MN"
247,MHIMN27141A052NCEN,"Estimate of Median Household Income for Sherburne County, MN"
248,FBITC027163,"Combined Violent and Property Crime Incidents Known to Law Enforcement in Washington County, MN"
249,HC01ESTVC1627003,"High School Graduate or Higher (5-year estimate) in Anoka County, MN"
250,MNISAN9POP,"Resident Population in Isanti County, MN"
251,FBITC027139,"Combined Violent and Property Crime Incidents Known to Law Enforcement in Scott County, MN"
252,S1701ACS027139,"Percent of Population Below the Poverty Level in Scott County, MN"
253,B14005DCYACS027123,"Disconnected Youth for Ramsey County, MN"
254,HOWNRATEACS027163,"Homeownership Rate for Washington County, MN"
255,HOWNRATEACS027139,"Homeownership Rate for Scott County, MN"
256,EQFXSUBPRIME027139,"Equifax Subprime Credit Population for Scott County, MN"
257,NETMIGNACS027059,"Net Migration Flow for Isanti County, MN"
258,MNWASH5LFN,"Civilian Labor Force in Washington County, MN"
259,MNDAKO5LFN,"Civilian Labor Force in Dakota County, MN"
260,ENU2712320510,"Number of Private Establishments for All Industries in Ramsey County, MN"
261,HOWNRATEACS027037,"Homeownership Rate for Dakota County, MN"
262,BPPRIV027037,"New Private Housing Structures Authorized by Building Permits for Dakota County, MN"
263,MHICIUBMN27053A052NCEN,"90% Confidence Interval Upper Bound of Estimate of Median Household Income for Hennepin County, MN"
264,NETMIGNACS027003,"Net Migration Flow for Anoka County, MN"
265,PCPI27163,"Per Capita Personal Income in Washington County, MN"
266,DP04ACS027025,"Burdened Households in Chisago County, MN"
267,CBR27025MNA647NCEN,"SNAP Benefits Recipients in Chisago County, MN"
268,MHIMN27025A052NCEN,"Estimate of Median Household Income for Chisago County, MN"
269,HC01ESTVC1627025,"High School Graduate or Higher (5-year estimate) in Chisago County, MN"
270,PI27139,"Personal Income in Scott County, MN"
271,CBR27163MNA647NCEN,"SNAP Benefits Recipients in Washington County, MN"
272,B14005DCYACS027059,"Disconnected Youth for Isanti County, MN"
273,PE5T17MN27053A647NCEN,"Estimate of Related Children Age 5-17 in Families in Poverty for Hennepin County, MN"
274,B14005DCYACS027171,"Disconnected Youth for Wright County, MN"
275,2020RATIO027003,"Income Inequality in Anoka County, MN"
276,PPAAMN27123A156NCEN,"Estimated Percent of People of All Ages in Poverty for Ramsey County, MN"
277,PUA0T17MN27059A647NCEN,"Poverty Universe, Age 0-17 for Isanti County, MN"
278,PEU18MN27059A647NCEN,"Estimate of People Age 0-17 in Poverty in Isanti County, MN"
279,RACEDISPARITY027163,"White to Non-White Racial Dissimilarity Index for Washington County, MN"
280,PUA0T17MN27037A647NCEN,"Poverty Universe, Age 0-17 for Dakota County, MN"
281,PUAAMN27037A647NCEN,"Poverty Universe, All Ages for Dakota County, MN"
282,B03002004E027037,"Population Estimate of Non-Hispanic Black or African-American Persons in Dakota County, MN"
283,PI27037,"Personal Income in Dakota County, MN"
284,2020RATIO027163,"Income Inequality in Washington County, MN"
285,B080ACS027003,"Mean Commuting Time for Workers in Anoka County, MN"
286,MNWRIG0LFN,"Civilian Labor Force in Wright County, MN"
287,CBR27059MNA647NCEN,"SNAP Benefits Recipients in Isanti County, MN"
288,CDC20N2U027003,"Premature Death Rate for Anoka County, MN"
289,EQFXSUBPRIME027163,"Equifax Subprime Credit Population for Washington County, MN"
290,PUA0T17MN27053A647NCEN,"Poverty Universe, Age 0-17 for Hennepin County, MN"
291,PUAAMN27139A647NCEN,"Poverty Universe, All Ages for Scott County, MN"
292,PE5T17MN27037A647NCEN,"Estimate of Related Children Age 5-17 in Families in Poverty for Dakota County, MN"
293,MNSHER1POP,"Resident Population in Sherburne County, MN"
294,CDC20N2U027123,"Premature Death Rate for Ramsey County, MN"
295,EQFXSUBPRIME027123,"Equifax Subprime Credit Population for Ramsey County, MN"
296,RACEDISPARITY027123,"White to Non-White Racial Dissimilarity Index for Ramsey County, MN"
297,HOWNRATEACS027003,"Homeownership Rate for Anoka County, MN"
298,HOWNRATEACS027059,"Homeownership Rate for Isanti County, MN"
299,HOWNRATEACS027141,"Homeownership Rate for Sherburne County, MN"
300,B01002001E027139,"Median Age of the Population in Scott County, MN"
301,B01002001E027037,"Median Age of the Population in Dakota County, MN"
302,B01002001E027171,"Median Age of the Population in Wright County, MN"
303,B01002001E027141,"Median Age of the Population in Sherburne County, MN"
304,B01002001E027163,"Median Age of the Population in Washington County, MN"
305,FBITC027003,"Combined Violent and Property Crime Incidents Known to Law Enforcement in Anoka County, MN"
306,FBITC027037,"Combined Violent and Property Crime Incidents Known to Law Enforcement in Dakota County, MN"
307,FBITC027141,"Combined Violent and Property Crime Incidents Known to Law Enforcement in Sherburne County, MN"
308,PEAAMN27053A647NCEN,"Estimate of People of All Ages in Poverty in Hennepin County, MN"
309,ATNHPIUS27163A,"All-Transactions House Price Index for Washington County, MN"
310,PE5T17MN27123A647NCEN,"Estimate of Related Children Age 5-17 in Families in Poverty for Ramsey County, MN"
311,EQFXSUBPRIME027037,"Equifax Subprime Credit Population for Dakota County, MN"
312,PI27019,"Personal Income in Carver County, MN"
313,PI27123,"Personal Income in Ramsey County, MN"
314,PI27163,"Personal Income in Washington County, MN"
315,DP04ACS027163,"Burdened Households in Washington County, MN"
316,MNSHER1LFN,"Civilian Labor Force in Sherburne County, MN"
317,NETMIGNACS027163,"Net Migration Flow for Washington County, MN"
318,PUA0T17MN27163A647NCEN,"Poverty Universe, Age 0-17 for Washington County, MN"
319,PUAAMN27163A647NCEN,"Poverty Universe, All Ages for Washington County, MN"
320,B080ACS027163,"Mean Commuting Time for Workers in Washington County, MN"
321,MHIMN27059A052NCEN,"Estimate of Median Household Income for Isanti County, MN"
322,PEU18MN27025A647NCEN,"Estimate of People Age 0-17 in Poverty in Chisago County, MN"
323,PEAAMN27123A647NCEN,"Estimate of People of All Ages in Poverty in Ramsey County, MN"
324,HC01ESTVC1727003,"Bachelor's Degree or Higher (5-year estimate) in Anoka County, MN"
325,PEAAMN27163A647NCEN,"Estimate of People of All Ages in Poverty in Washington County, MN"
326,HC01ESTVC1627053,"High School Graduate or Higher (5-year estimate) in Hennepin County, MN"
327,PPU18MN27053A156NCEN,"Estimated Percent of People Age 0-17 in Poverty for Hennepin County, MN"
328,HC01ESTVC1627163,"High School Graduate or Higher (5-year estimate) in Washington County, MN"
329,PPAAMN27163A156NCEN,"Estimated Percent of People of All Ages in Poverty for Washington County, MN"
330,MHICILBMN27163A052NCEN,"90% Confidence Interval Lower Bound of Estimate of Median Household Income for Washington County, MN"
331,MHICIUBMN27163A052NCEN,"90% Confidence Interval Upper Bound of Estimate of Median Household Income for Washington County, MN"
332,PECIUBAAMN27053A647NCEN,"90% Confidence Interval Upper Bound of Estimate of People of All Ages in Poverty for Hennepin County, MN"
333,PECILB5T17MN27123A647NCEN,"90% Confidence Interval Lower Bound of Estimate of Related Children Age 5-17 in Families in Poverty for Ramsey County, MN"
334,MNISAN9LFN,"Civilian Labor Force in Isanti County, MN"
335,PPU18MN27025A156NCEN,"Estimated Percent of People Age 0-17 in Poverty for Chisago County, MN"
336,MNCHIS5LFN,"Civilian Labor Force in Chisago County, MN"
337,RACEDISPARITY027003,"White to Non-White Racial Dissimilarity Index for Anoka County, MN"
338,RACEDISPARITY027139,"White to Non-White Racial Dissimilarity Index for Scott County, MN"
339,RACEDISPARITY027037,"White to Non-White Racial Dissimilarity Index for Dakota County, MN"
340,RACEDISPARITY027059,"White to Non-White Racial Dissimilarity Index for Isanti County, MN"
341,RACEDISPARITY027171,"White to Non-White Racial Dissimilarity Index for Wright County, MN"
342,RACEDISPARITY027141,"White to Non-White Racial Dissimilarity Index for Sherburne County, MN"
343,PP5T17MN27139A156NCEN,"Estimated Percent of Related Children Age 5-17 in Families in Poverty for Scott County, MN"
344,MHICIUBMN27037A052NCEN,"90% Confidence Interval Upper Bound of Estimate of Median Household Income for Dakota County, MN"
345,PI27059,"Personal Income in Isanti County, MN"
346,PI27025,"Personal Income in Chisago County, MN"
347,PI27141,"Personal Income in Sherburne County, MN"
348,PUAAMN27025A647NCEN,"Poverty Universe, All Ages for Chisago County, MN"
349,B080ACS027053,"Mean Commuting Time for Workers in Hennepin County, MN"
350,HC01ESTVC1727123,"Bachelor's Degree or Higher (5-year estimate) in Ramsey County, MN"
351,PECILBU18MN27003A647NCEN,"90% Confidence Interval Lower Bound of Estimate of People Age 0-17 in Poverty for Anoka County, MN"
353,MNITAS1URN,"Unemployment Rate in Itasca County, MN"
354,ROCH327NA,"All Employees: Total Nonfarm in Rochester, MN (MSA)"
355,MNWINO9URN,"Unemployment Rate in Winona County, MN"
356,ATNHPIUS22020Q,"All-Transactions House Price Index for Fargo, ND-MN (MSA)"
357,HC01ESTVC1627001,"High School Graduate or Higher (5-year estimate) in Aitkin County, MN"
358,PCPI27095,"Per Capita Personal Income in Mille Lacs County, MN"
359,MNBELT7URN,"Unemployment Rate in Beltrami County, MN"
360,MNDOUG1URN,"Unemployment Rate in Douglas County, MN"
361,ROCH327FIRE,"All Employees: Financial Activities in Rochester, MN (MSA)"
362,M13010US33460M156NNBR,"Federal Reserve Bank Discount Rates for Minneapolis, MN"
363,LAUCN270870000000003A,"Unemployment Rate in Mahnomen County, MN"
365,CUUSA211SA0L1ES,"Consumer Price Index for All Urban Consumers: All items less food and energy in Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)"
367,M0481BUS33460M264NNBR,"Wholesale Price Linseed Oil, Raw for Minneapolis, MN"
368,CUURA211SAS,"Consumer Price Index for All Urban Consumers: Services in Minneapolis-St. Paul, MN-WI (DISCONTINUED)"
369,ENUC334640510,"Average Weekly Wages for Employees in Private Establishments in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
371,ROAMSP,"Return on Average Assets for Commercial Banks with Assets under $5B in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
372,SMU27334607072251101SA,"All Employees: Full-Service Restaurants in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
375,CUURA211SAC,"Consumer Price Index for All Urban Consumers: Commodities in Minneapolis-St. Paul, MN-WI (DISCONTINUED)"
376,MINN427FIREN,"All Employees: Financial Activities in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
378,SMU27334605553000001SA,"All Employees: Real Estate and Rental and Leasing in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
380,CCDIOA33460Q156N,"CredAbility Consumer Distress Index for Minneapolis-St. Paul-Bloomington, MN-WI (MSA) (DISCONTINUED)"
381,ENUC334640010,"Average Weekly Wages for Employees in Total Covered Establishments in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
383,M04020US33460M267NNBR,"Retail Price of Flour, Wheat, White for Minneapolis, MN"
384,SMU27334600500000003A,"Average Hourly Earnings of All Employees: Total Private in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
387,MINN427MFGN,"All Employees: Manufacturing in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
390,CUUSA211SAT,"Consumer Price Index for All Urban Consumers: Transportation in Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)"
391,CUUSA211SEFV,"Consumer Price Index for All Urban Consumers: Food away from home in Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)"
392,RPI33460,"Real Personal Income for Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
393,CUUSA211SACS,"Consumer Price Index for All Urban Consumers: Commodities in Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)"
395,CUUSA211SETB01,"Consumer Price Index for All Urban Consumers: Gasoline (all types) in Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)"
396,SMU27334600500000002,"Average Weekly Hours of All Employees: Total Private in Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
