DATE,MNYELL3URN,CBR27173MNA647NCEN,MNYELL3LFN,EQFXSUBPRIME027173,MNYELL3POP,PEU18MN27173A647NCEN,ATNHPIUS27173A,PPU18MN27173A156NCEN,NETMIGNACS027173,MHIMN27173A052NCEN,RACEDISPARITY027173,PI27173,2020RATIO027173,B14005DCYACS027173,DP04ACS027173,HOWNRATEACS027173,CDC20N2U027173,PCPI27173,PUA0T17MN27173A647NCEN,PUAAMN27173A647NCEN,B01002001E027173,B080ACS027173,CDC20N2UAA027173,PUA5T17RMN27173A647NCEN,DMPCRATE027173,PEAAMN27173A647NCEN,HC01ESTVC1727173,S1701ACS027173,HC01ESTVC1627173,B03002003E027173,B03002006E027173,B03002012E027173,ENU2717320510,PPAAMN27173A156NCEN,PE5T17MN27173A647NCEN,BPPRIV027173,B03002004E027173,FBITC027173,PP5T17MN27173A156NCEN,MHICILBMN27173A052NCEN,MHICIUBMN27173A052NCEN,B03002005E027173,PECILBU18MN27173A647NCEN,PECIUBU18MN27173A647NCEN,PECILBAAMN27173A647NCEN,PECIUBAAMN27173A647NCEN,S1101SPHOUSE027173,PPCILBU18MN27173A156NCEN,PPCIUBU18MN27173A156NCEN,PPCILBAAMN27173A156NCEN,PPCIUBAAMN27173A156NCEN,S1501ACSTOTAL027173,PECILB5T17MN27173A647NCEN,PECIUB5T17MN27173A647NCEN,PPCILB5T17MN27173A156NCEN,PPCIUB5T17MN27173A156NCEN,county
1995-05-01,4.8,,5546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1995-06-01,4.4,,5643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1995-07-01,4.2,,5322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1995-08-01,3.7,,5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1995-09-01,3.3,,5279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1995-10-01,3.0,,5336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1995-11-01,2.9,,5330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1995-12-01,6.1,,5353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-01-01,7.7,,5314,,11.482999999999999,,82.53,,,,,239713.0,,,,,,20875.0,,,,,,,,,,,,,,,327.0,,,24.0,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-02-01,7.2,,5348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-03-01,7.5,,5461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-04-01,6.4,,5532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-05-01,4.5,,5592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-06-01,5.2,,5626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-07-01,5.3,,5466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-08-01,5.2,,5524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-09-01,3.9,,5542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-10-01,2.9,,5376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-11-01,4.1,,5348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1996-12-01,6.4,,5326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-01-01,7.2,310.0,5243,,11.495999999999999,359.0,86.62,11.5,,32582.0,,224360.0,,,,,,19516.0,,,,,,,,1099.0,,,,,,,330.0,9.7,282.0,26.0,,,12.0,29329.0,35818.0,,257.0,462.0,821.0,1378.0,,8.2,14.8,7.2,12.1,,192.0,372.0,8.1,15.8,YELLOW MEDICINE
1997-02-01,6.2,,5223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-03-01,6.6,,5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-04-01,9.6,,5612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-05-01,3.6,,5346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-06-01,3.9,,5346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-07-01,3.4,,5370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-08-01,3.2,,5433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-09-01,2.8,,5413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-10-01,2.4,,5388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-11-01,2.5,,5319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1997-12-01,4.3,,5377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-01-01,5.7,316.0,5418,,11.302999999999999,383.0,85.57,12.5,,33426.0,,239795.0,,,,,,21215.0,3065.0,11297.0,,,,2359.0,,1186.0,,,,,,,332.0,10.5,295.0,30.0,,,12.5,30262.0,36574.0,,267.0,500.0,893.0,1480.0,,8.7,16.3,7.9,13.1,,191.0,399.0,8.1,16.9,YELLOW MEDICINE
1998-02-01,5.6,,5452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-03-01,5.8,,5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-04-01,3.8,,5408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-05-01,2.3,,5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-06-01,3.1,,5576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-07-01,2.6,,5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-08-01,2.6,,5124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-09-01,2.5,,5265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-10-01,2.3,,5280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-11-01,3.0,,5338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1998-12-01,3.9,,5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-01-01,5.2,276.0,5419,21.735877291432853,11.192,287.0,86.54,10.0,,34735.0,,249672.0,,,,,333.4,22308.0,2863.0,10921.0,,,280.4,2180.0,,896.0,,,,,,,329.0,8.2,221.0,16.0,,,10.1,32503.0,37121.0,,188.0,385.0,661.0,1131.0,,6.6,13.5,6.1,10.4,,134.0,308.0,6.2,14.1,YELLOW MEDICINE
1999-02-01,4.9,,5366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-03-01,5.5,,5236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-04-01,4.9,,5311,21.296645307199398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-05-01,3.5,,5322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-06-01,4.7,,5508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-07-01,4.1,,5468,20.18669778296383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-08-01,3.9,,5395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-09-01,3.2,,5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-10-01,2.9,,5291,20.390720390720393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-11-01,3.6,,5215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
1999-12-01,5.0,,5113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-01-01,6.2,254.0,5690,20.19230769230769,11.198,281.0,100.0,10.4,,36473.0,,266219.0,,,,,448.9,23753.0,2706.0,10745.0,,,371.7,2025.0,,856.0,,,,,,,326.0,8.0,186.0,25.0,,,9.2,33808.0,39348.0,,206.0,357.0,657.0,1056.0,,7.6,13.2,6.1,9.8,,126.0,246.0,6.2,12.2,YELLOW MEDICINE
2000-02-01,5.4,,5695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-03-01,5.3,,5735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-04-01,4.1,,5700,20.825688073394492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-05-01,3.4,,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-06-01,3.7,,5809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-07-01,3.6,,5756,21.005917159763317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-08-01,3.8,,5720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-09-01,3.6,,5695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-10-01,3.1,,5806,19.04055390702275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-11-01,4.0,,5706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2000-12-01,5.1,,5784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-01-01,6.2,309.0,5828,18.73508353221957,11.072000000000001,302.0,98.91,11.8,,35199.0,,271419.0,,,,,426.1,24373.0,2561.0,10586.0,,,332.6,1927.0,,952.0,,,,,,,322.0,9.0,211.0,35.0,,,10.9,32838.0,37731.0,,214.0,390.0,730.0,1174.0,,8.4,15.2,6.9,11.1,,138.0,284.0,7.2,14.7,YELLOW MEDICINE
2001-02-01,6.1,,5795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-03-01,6.6,,5792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-04-01,5.7,,5941,19.26553672316384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-05-01,4.2,,5870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-06-01,5.3,,5998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-07-01,5.3,,5833,20.085470085470085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-08-01,5.4,,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-09-01,4.7,,5707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-10-01,4.0,,5708,20.437457279562548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-11-01,4.2,,5592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2001-12-01,5.5,,5663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2002-01-01,6.6,318.0,5707,20.785714285714285,10.885,242.0,102.1,9.7,,35401.0,,271620.0,,,,,431.9,24688.0,2501.0,10505.0,,,352.1,1896.0,,869.0,,,,,,,318.0,8.3,183.0,23.0,,,9.7,33002.0,37975.0,,173.0,311.0,657.0,1080.0,,6.9,12.4,6.3,10.3,,123.0,243.0,6.5,12.8,YELLOW MEDICINE
2002-02-01,6.3,,5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2002-03-01,6.3,,5799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2002-04-01,5.4,,5807,20.525224602626125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2002-05-01,3.9,,5705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2002-06-01,4.8,,5765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2002-07-01,4.5,,5678,21.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2002-08-01,3.9,,5615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2002-09-01,3.5,,5613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
2002-10-01,2.9,,5712,20.343839541547283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,,,,,,,,,,,,,,,,,,,,,,,,YELLOW MEDICINE
