DATE,MNOTTE5URN,MNOTTE5POP,B01002001E027111,B03002003E027111,CBR27111MNA647NCEN,MHIMN27111A052NCEN,PECILBU18MN27111A647NCEN,S1701ACS027111,NETMIGNACS027111,ATNHPIUS27111A,PEU18MN27111A647NCEN,PEAAMN27111A647NCEN,PUA5T17RMN27111A647NCEN,PI27111,B14005DCYACS027111,ENU2711120510,MNOTTE5LFN,FBITC027111,BPPRIV027111,PCPI27111,RACEDISPARITY027111,PPU18MN27111A156NCEN,2020RATIO027111,DP04ACS027111,HOWNRATEACS027111,CDC20N2U027111,USPTOISSUED027111,PUA0T17MN27111A647NCEN,PUAAMN27111A647NCEN,B080ACS027111,CDC20N2UAA027111,EQFXSUBPRIME027111,DMPCRATE027111,HC01ESTVC1727111,HC01ESTVC1627111,B03002006E027111,B03002012E027111,PPAAMN27111A156NCEN,PE5T17MN27111A647NCEN,B03002004E027111,PP5T17MN27111A156NCEN,MHICILBMN27111A052NCEN,MHICIUBMN27111A052NCEN,B03002005E027111,PECIUBU18MN27111A647NCEN,PECILBAAMN27111A647NCEN,PECIUBAAMN27111A647NCEN,S1101SPHOUSE027111,PPCILBU18MN27111A156NCEN,PPCIUBU18MN27111A156NCEN,PPCILBAAMN27111A156NCEN,PPCIUBAAMN27111A156NCEN,S1501ACSTOTAL027111,PECILB5T17MN27111A647NCEN,PECIUB5T17MN27111A647NCEN,PPCILB5T17MN27111A156NCEN,PPCIUB5T17MN27111A156NCEN,county
1992-09-01,5.2,,,,,,,,,,,,,,,,25459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-10-01,4.7,,,,,,,,,,,,,,,1275.0,25065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-11-01,6.7,,,,,,,,,,,,,,,,24978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1992-12-01,7.8,,,,,,,,,,,,,,,,24550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-01-01,12.0,52.293,,,3403.0,26871.0,1984.0,,,71.08,2558.0,7068.0,,883977.0,,1276.0,25060,,107.0,16904.0,,17.9,,,,,,,,,,,,,,,,13.5,1728.0,,16.0,24589.0,29141.0,,3132.0,5575.0,8560.0,,13.9,21.9,10.7,16.4,,1301.0,2154.0,12.1,20.0,OTTER TAIL
1993-02-01,12.0,,,,,,,,,,,,,,,,24981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-03-01,11.5,,,,,,,,,,,,,,,,25388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-04-01,9.5,,,,,,,,,,,,,,,1279.0,25783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-05-01,6.2,,,,,,,,,,,,,,,,25979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-06-01,6.4,,,,,,,,,,,,,,,,26617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-07-01,5.0,,,,,,,,,,,,,,,1286.0,25907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-08-01,4.8,,,,,,,,,,,,,,,,25462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-09-01,4.7,,,,,,,,,,,,,,,,25826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-10-01,4.3,,,,,,,,,,,,,,,1300.0,25888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-11-01,5.0,,,,,,,,,,,,,,,,25699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1993-12-01,6.7,,,,,,,,,,,,,,,,25435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-01-01,9.8,52.853,,,,,,,,75.02,,,,961211.0,,1307.0,25233,,129.0,18186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-02-01,8.9,,,,,,,,,,,,,,,,25157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-03-01,8.8,,,,,,,,,,,,,,,,25234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-04-01,6.1,,,,,,,,,,,,,,,1313.0,25158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-05-01,3.8,,,,,,,,,,,,,,,,25847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-06-01,4.2,,,,,,,,,,,,,,,,26409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-07-01,3.8,,,,,,,,,,,,,,,1304.0,26199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-08-01,3.8,,,,,,,,,,,,,,,,26454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-09-01,3.9,,,,,,,,,,,,,,,,26624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-10-01,3.7,,,,,,,,,,,,,,,1333.0,26573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-11-01,4.2,,,,,,,,,,,,,,,,26512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1994-12-01,6.5,,,,,,,,,,,,,,,,25857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-01-01,9.3,53.49,,,2677.0,29598.0,1593.0,,,79.09,2065.0,6054.0,,983204.0,,1305.0,25805,,131.0,18381.0,,14.3,,,,,,,,,,,,,,,,11.3,1330.0,,12.2,26516.0,32664.0,,2537.0,4762.0,7345.0,,11.1,17.6,8.9,13.7,,1016.0,1644.0,9.3,15.1,OTTER TAIL
1995-02-01,7.7,,,,,,,,,,,,,,,,25646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-03-01,7.9,,,,,,,,,,,,,,,,25908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-04-01,6.7,,,,,,,,,,,,,,,1322.0,26943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-05-01,4.7,,,,,,,,,,,,,,,,27042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-06-01,4.5,,,,,,,,,,,,,,,,27425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-07-01,4.1,,,,,,,,,,,,,,,1320.0,27007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-08-01,3.7,,,,,,,,,,,,,,,,26696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-09-01,3.7,,,,,,,,,,,,,,,,26942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-10-01,3.5,,,,,,,,,,,,,,,1368.0,26770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-11-01,4.7,,,,,,,,,,,,,,,,26743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1995-12-01,6.7,,,,,,,,,,,,,,,,26448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-01-01,8.2,54.522,,,,,,,,82.9,,,,1083999.0,,1385.0,26671,,135.0,19882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-02-01,7.8,,,,,,,,,,,,,,,,26735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-03-01,8.1,,,,,,,,,,,,,,,,27166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-04-01,7.3,,,,,,,,,,,,,,,1427.0,27792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-05-01,5.7,,,,,,,,,,,,,,,,28208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-06-01,5.4,,,,,,,,,,,,,,,,28427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-07-01,5.1,,,,,,,,,,,,,,,1438.0,28529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-08-01,4.5,,,,,,,,,,,,,,,,28189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-09-01,4.5,,,,,,,,,,,,,,,,28195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-10-01,3.9,,,,,,,,,,,,,,,1442.0,28176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-11-01,5.2,,,,,,,,,,,,,,,,28005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1996-12-01,6.4,,,,,,,,,,,,,,,,27721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-01-01,8.1,55.136,,,1986.0,31721.0,1800.0,,,86.23,2450.0,6201.0,,1112219.0,,1438.0,27324,,94.0,20172.0,,16.8,,,,,,,,,,,,,,,,11.4,1622.0,,14.9,28611.0,34815.0,,3100.0,4735.0,7668.0,,12.3,21.3,8.7,14.1,,1137.0,2107.0,10.5,19.4,OTTER TAIL
1997-02-01,7.1,,,,,,,,,,,,,,,,27138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-03-01,7.2,,,,,,,,,,,,,,,,27227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-04-01,6.1,,,,,,,,,,,,,,,1464.0,27747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-05-01,4.2,,,,,,,,,,,,,,,,28381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-06-01,4.7,,,,,,,,,,,,,,,,28696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-07-01,3.8,,,,,,,,,,,,,,,1499.0,28442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-08-01,3.9,,,,,,,,,,,,,,,,28131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-09-01,3.9,,,,,,,,,,,,,,,,27873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-10-01,3.4,,,,,,,,,,,,,,,1497.0,27582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-11-01,4.0,,,,,,,,,,,,,,,,27287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1997-12-01,5.4,,,,,,,,,,,,,,,,27215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-01-01,6.9,55.726000000000006,,,2039.0,33279.0,1684.0,,,92.18,2347.0,6604.0,11164.0,1198188.0,,1480.0,27036,,115.0,21501.0,,16.0,,,,,,14696.0,55345.0,,,,,,,,,11.9,1527.0,,13.7,30182.0,36359.0,,3011.0,5084.0,8123.0,,11.5,20.5,9.2,14.7,,1011.0,2043.0,9.1,18.3,OTTER TAIL
1998-02-01,6.4,,,,,,,,,,,,,,,,26988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-03-01,6.4,,,,,,,,,,,,,,,,27062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-04-01,4.2,,,,,,,,,,,,,,,1503.0,27412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-05-01,3.2,,,,,,,,,,,,,,,,27982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-06-01,3.5,,,,,,,,,,,,,,,,28343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-07-01,2.9,,,,,,,,,,,,,,,1515.0,28376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-08-01,2.9,,,,,,,,,,,,,,,,27354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-09-01,2.8,,,,,,,,,,,,,,,,27892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-10-01,2.7,,,,,,,,,,,,,,,1501.0,27137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-11-01,3.7,,,,,,,,,,,,,,,,26786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1998-12-01,4.6,,,,,,,,,,,,,,,,26638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-01-01,6.1,56.68,,,1776.0,34850.0,1125.0,,,93.25,1660.0,5370.0,10851.0,1257618.0,,1496.0,27136,,114.0,22188.0,,11.7,,,,448.8,,14168.0,56394.0,,358.7,21.98899703766399,,,,,,9.5,1238.0,,11.4,32662.0,37184.0,,2195.0,4022.0,6718.0,,7.9,15.5,7.1,11.9,,780.0,1696.0,7.2,15.6,OTTER TAIL
1999-02-01,5.7,,,,,,,,,,,,,,,,27027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-03-01,5.4,,,,,,,,,,,,,,,,26967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-04-01,4.1,,,,,,,,,,,,,,,1524.0,27757,,,,,,,,,,,,,,,21.951637797976336,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-05-01,3.2,,,,,,,,,,,,,,,,28253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-06-01,3.8,,,,,,,,,,,,,,,,28999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-07-01,3.9,,,,,,,,,,,,,,,1545.0,28480,,,,,,,,,,,,,,,20.78168044077135,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-08-01,3.3,,,,,,,,,,,,,,,,27724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-09-01,3.8,,,,,,,,,,,,,,,,27447,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-10-01,3.0,,,,,,,,,,,,,,,1526.0,27751,,,,,,,,,,,,,,,21.035656692349047,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-11-01,3.9,,,,,,,,,,,,,,,,27142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
1999-12-01,5.0,,,,,,,,,,,,,,,,27442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-01-01,6.3,57.073,,,1760.0,36710.0,1256.0,,,100.0,1704.0,5140.0,10338.0,1325870.0,,1520.0,28475,,115.0,23231.0,,12.6,,,,442.8,,13517.0,56549.0,,358.3,21.16755793226381,,,,,,9.1,1082.0,,10.5,34067.0,39559.0,,2152.0,3966.0,6314.0,,9.3,15.9,7.0,11.2,,737.0,1427.0,7.1,13.8,OTTER TAIL
2000-02-01,5.8,,,,,,,,,,,,,,,,28715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-03-01,5.8,,,,,,,,,,,,,,,,29111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-04-01,4.1,,,,,,,,,,,,,,,1553.0,29139,,,,,,,,,,,,,,,21.360264545535795,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-05-01,3.2,,,,,,,,,,,,,,,,29861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-06-01,3.3,,,,,,,,,,,,,,,,30281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-07-01,3.0,,,,,,,,,,,,,,,1559.0,30178,,,,,,,,,,,,,,,21.33941877794337,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-08-01,3.0,,,,,,,,,,,,,,,,29942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-09-01,3.3,,,,,,,,,,,,,,,,29761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-10-01,3.2,,,,,,,,,,,,,,,1569.0,29416,,,,,,,,,,,,,,,19.467048198157922,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-11-01,4.3,,,,,,,,,,,,,,,,29049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2000-12-01,5.2,,,,,,,,,,,,,,,,28645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-01-01,6.4,57.011,,,1842.0,35831.0,1202.0,,,103.53,1679.0,5490.0,10269.0,1402331.0,,1555.0,28755,,108.0,24570.0,,12.7,,,,368.4,,13260.0,57151.0,,297.1,20.125205254515603,,,,,,9.6,1131.0,,11.0,33472.0,38357.0,,2157.0,4223.0,6757.0,,9.1,16.3,7.4,11.8,,745.0,1517.0,7.3,14.8,OTTER TAIL
2001-02-01,6.1,,,,,,,,,,,,,,,,28664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-03-01,6.1,,,,,,,,,,,,,,,,28923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-04-01,4.8,,,,,,,,,,,,,,,1584.0,29562,,,,,,,,,,,,,,,19.97411561691113,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-05-01,3.3,,,,,,,,,,,,,,,,30421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-06-01,3.7,,,,,,,,,,,,,,,,30788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-07-01,3.4,,,,,,,,,,,,,,,1576.0,29977,,,,,,,,,,,,,,,19.809040367416003,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-08-01,3.3,,,,,,,,,,,,,,,,30362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-09-01,3.3,,,,,,,,,,,,,,,,30031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-10-01,3.3,,,,,,,,,,,,,,,1570.0,29742,,,,,,,,,,,,,,,20.227772744920408,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-11-01,4.1,,,,,,,,,,,,,,,,29106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2001-12-01,5.7,,,,,,,,,,,,,,,,29110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-01-01,7.1,57.11,,,2045.0,36162.0,1119.0,,,108.48,1556.0,5675.0,10197.0,1437926.0,,1578.0,29141,,140.0,25119.0,,11.8,,,,428.9,,13171.0,58054.0,,346.5,20.364372469635626,,,,,,9.8,1140.0,,11.2,33774.0,38719.0,,1993.0,4305.0,7044.0,,8.5,15.1,7.4,12.1,,772.0,1508.0,7.6,14.8,OTTER TAIL
2002-02-01,6.9,,,,,,,,,,,,,,,,29383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-03-01,6.9,,,,,,,,,,,,,,,,29801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-04-01,5.9,,,,,,,,,,,,,,,1617.0,30117,,,,,,,,,,,,,,,19.868934746235357,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-05-01,4.0,,,,,,,,,,,,,,,,30186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-06-01,4.5,,,,,,,,,,,,,,,,30293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-07-01,4.4,,,,,,,,,,,,,,,1630.0,29972,,,,,,,,,,,,,,,20.21857923497268,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-08-01,3.8,,,,,,,,,,,,,,,,29855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-09-01,3.7,,,,,,,,,,,,,,,,30019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-10-01,3.3,,,,,,,,,,,,,,,1613.0,29894,,,,,,,,,,,,,,,20.362190812720847,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-11-01,4.4,,,,,,,,,,,,,,,,29435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
2002-12-01,5.6,,,,,,,,,,,,,,,,29325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTER TAIL
